trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
0,0,0,localizer,,0,HAND,hand,0,0,0.5,1.0,0.0,1.5,0,0.0,1.0,4.0,0.0,0.5,1.5,0.0,0.5,1.5
1,1,0,localizer,,1,HAND,hand,1,0,1.0,1.0,0.0,1.5,0,0.0,0.5,4.0,4.0,5.0,6.0,4.0,5.0,6.0
2,2,0,localizer,,0,HAND,hand,0,0,0.0,1.0,0.0,1.5,0,0.0,1.5,4.0,8.0,8.0,9.0,8.0,8.0,9.0
3,3,0,localizer,,0,HAND,hand,0,0,1.0,1.0,0.0,1.5,0,0.0,0.5,4.0,12.0,13.0,14.0,12.0,13.0,14.0
4,4,0,localizer,,1,HAND,hand,1,0,0.5,1.0,0.0,1.5,0,0.0,1.0,4.0,16.0,16.5,17.5,16.0,16.5,17.5
5,5,0,localizer,,0,HAND,hand,0,0,1.5,1.0,0.0,1.5,0,0.0,0.0,4.0,20.0,21.5,22.5,20.0,21.5,22.5
6,6,0,localizer,,0,HAND,hand,0,0,0.5,1.0,0.0,1.5,0,0.0,1.0,4.0,24.0,24.5,25.5,24.0,24.5,25.5
7,7,0,localizer,,1,HAND,hand,1,0,1.5,1.0,0.0,1.5,0,0.0,0.0,4.0,28.0,29.5,30.5,28.0,29.5,30.5
8,8,0,localizer,,1,HAND,hand,1,0,0.5,1.0,0.0,1.5,0,0.0,1.0,4.0,32.0,32.5,33.5,32.0,32.5,33.5
9,9,0,localizer,,1,HAND,hand,1,0,0.0,1.0,0.0,1.5,0,0.0,1.5,4.0,36.0,36.0,37.0,36.0,36.0,37.0
10,0,0,localizer,,1,EYE,eye,1,0,0.0,1.0,0.0,1.5,0,0.0,1.5,4.0,40.0,40.0,41.0,0.0,0.0,1.0
11,1,0,localizer,,0,EYE,eye,0,0,1.0,1.0,0.0,1.5,0,0.0,0.5,4.0,44.0,45.0,46.0,4.0,5.0,6.0
12,2,0,localizer,,0,EYE,eye,0,0,1.0,1.0,0.0,1.5,0,0.0,0.5,4.0,48.0,49.0,50.0,8.0,9.0,10.0
13,3,0,localizer,,1,EYE,eye,1,0,1.5,1.0,0.0,1.5,0,0.0,0.0,4.0,52.0,53.5,54.5,12.0,13.5,14.5
14,4,0,localizer,,1,EYE,eye,1,0,0.0,1.0,0.0,1.5,0,0.0,1.5,4.0,56.0,56.0,57.0,16.0,16.0,17.0
15,5,0,localizer,,1,EYE,eye,1,0,0.5,1.0,0.0,1.5,0,0.0,1.0,4.0,60.0,60.5,61.5,20.0,20.5,21.5
16,6,0,localizer,,0,EYE,eye,0,0,0.5,1.0,0.0,1.5,0,0.0,1.0,4.0,64.0,64.5,65.5,24.0,24.5,25.5
17,7,0,localizer,,0,EYE,eye,0,0,0.5,1.0,0.0,1.5,0,0.0,1.0,4.0,68.0,68.5,69.5,28.0,28.5,29.5
18,8,0,localizer,,0,EYE,eye,0,0,0.0,1.0,0.0,1.5,0,0.0,1.5,4.0,72.0,72.0,73.0,32.0,32.0,33.0
19,9,0,localizer,,1,EYE,eye,1,0,1.0,1.0,0.0,1.5,0,0.0,0.5,4.0,76.0,77.0,78.0,36.0,37.0,38.0
20,0,1,cognitive_eye,False,1,SPD,eye,1,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,80.0,80.0,85.8,0.0,0.0,5.8
21,1,1,cognitive_eye,False,0,ACC,eye,2,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,88.0,89.5,94.3,8.0,9.5,14.3
22,2,1,cognitive_eye,False,0,ACC,eye,2,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,98.0,98.5,103.3,18.0,18.5,23.3
23,3,1,cognitive_eye,False,1,ACC,eye,3,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,106.0,106.0,110.8,26.0,26.0,30.8
24,4,1,cognitive_eye,False,0,SPD,eye,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,114.0,114.5,120.3,34.0,34.5,40.3
25,5,1,cognitive_eye,False,1,ACC,eye,3,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,124.0,124.0,129.8,44.0,44.0,49.8
26,6,1,cognitive_eye,False,1,ACC,eye,3,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,132.0,133.5,139.8,52.0,53.5,59.8
27,7,1,cognitive_eye,False,0,ACC,eye,2,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,142.0,142.0,147.3,62.0,62.0,67.3
28,8,1,cognitive_eye,False,1,SPD,eye,1,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,150.0,150.5,155.8,70.0,70.5,75.8
29,9,1,cognitive_eye,False,0,SPD,eye,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,158.0,159.5,165.8,78.0,79.5,85.8
30,10,1,cognitive_eye,True,,,eye,,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,168.0,169.0,175.3,88.0,89.0,95.3
31,11,1,cognitive_eye,False,0,SPD,eye,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,178.0,178.5,184.3,98.0,98.5,104.3
32,12,1,cognitive_eye,False,1,SPD,eye,1,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,188.0,189.5,194.8,108.0,109.5,114.8
33,13,1,cognitive_eye,False,1,ACC,eye,3,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,198.0,198.0,203.8,118.0,118.0,123.8
34,14,1,cognitive_eye,False,0,ACC,eye,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,206.0,206.0,211.8,126.0,126.0,131.8
35,15,1,cognitive_eye,False,1,SPD,eye,1,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,214.0,214.5,220.3,134.0,134.5,140.3
36,16,1,cognitive_eye,False,0,ACC,eye,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,224.0,225.0,230.8,144.0,145.0,150.8
37,17,1,cognitive_eye,True,,,eye,,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,234.0,234.5,240.8,154.0,154.5,160.8
38,18,1,cognitive_eye,False,0,ACC,eye,2,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,244.0,244.5,249.8,164.0,164.5,169.8
39,19,1,cognitive_eye,False,1,SPD,eye,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,252.0,253.0,257.8,172.0,173.0,177.8
40,20,1,cognitive_eye,False,1,ACC,eye,3,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,260.0,261.5,266.3,180.0,181.5,186.3
41,21,1,cognitive_eye,False,1,SPD,eye,1,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,270.0,270.0,274.8,190.0,190.0,194.8
42,22,1,cognitive_eye,False,0,ACC,eye,2,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,278.0,278.5,284.8,198.0,198.5,204.8
43,23,1,cognitive_eye,False,0,ACC,eye,2,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,288.0,289.0,293.8,208.0,209.0,213.8
44,24,1,cognitive_eye,False,1,ACC,eye,3,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,296.0,297.5,302.8,216.0,217.5,222.8
45,25,1,cognitive_eye,False,1,ACC,eye,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,306.0,307.5,313.3,226.0,227.5,233.3
