trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
260,0,3,cognitive_hand,0,ACC,hand,2,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2380.0,2380.0,2385.3,0.0,0.0,5.3
261,1,3,cognitive_hand,1,SPD,hand,1,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2388.0,2389.5,2394.8,8.0,9.5,14.8
262,2,3,cognitive_hand,1,ACC,hand,3,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2398.0,2398.5,2403.8,18.0,18.5,23.8
263,3,3,cognitive_hand,0,ACC,hand,2,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2406.0,2407.5,2412.3,26.0,27.5,32.3
264,4,3,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2416.0,2416.0,2420.8,36.0,36.0,40.8
265,5,3,cognitive_hand,0,ACC,hand,2,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2424.0,2424.5,2430.3,44.0,44.5,50.3
266,6,3,cognitive_hand,1,SPD,hand,1,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2434.0,2434.5,2439.3,54.0,54.5,59.3
267,7,3,cognitive_hand,0,ACC,hand,2,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2442.0,2442.5,2448.3,62.0,62.5,68.3
268,8,3,cognitive_hand,1,SPD,hand,1,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2452.0,2452.5,2458.8,72.0,72.5,78.8
269,9,3,cognitive_hand,0,ACC,hand,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2462.0,2463.0,2468.3,82.0,83.0,88.3
270,10,3,cognitive_hand,1,ACC,hand,3,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2472.0,2472.5,2477.3,92.0,92.5,97.3
271,11,3,cognitive_hand,1,SPD,hand,1,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2480.0,2480.0,2486.3,100.0,100.0,106.3
272,12,3,cognitive_hand,1,SPD,hand,1,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2490.0,2491.0,2496.3,110.0,111.0,116.3
273,13,3,cognitive_hand,0,SPD,hand,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2500.0,2500.5,2506.3,120.0,120.5,126.3
274,14,3,cognitive_hand,1,SPD,hand,1,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2510.0,2511.5,2516.3,130.0,131.5,136.3
275,15,3,cognitive_hand,1,ACC,hand,3,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2520.0,2521.5,2527.8,140.0,141.5,147.8
276,16,3,cognitive_hand,0,SPD,hand,0,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2530.0,2531.0,2536.3,150.0,151.0,156.3
277,17,3,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2540.0,2540.0,2545.3,160.0,160.0,165.3
278,18,3,cognitive_hand,0,ACC,hand,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2548.0,2549.0,2554.8,168.0,169.0,174.8
279,19,3,cognitive_hand,0,SPD,hand,0,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2558.0,2559.0,2564.3,178.0,179.0,184.3
280,20,3,cognitive_hand,1,ACC,hand,3,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2568.0,2568.0,2574.3,188.0,188.0,194.3
281,21,3,cognitive_hand,0,ACC,hand,2,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2578.0,2579.5,2584.8,198.0,199.5,204.8
282,22,3,cognitive_hand,0,ACC,hand,2,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2588.0,2589.5,2594.8,208.0,209.5,214.8
283,23,3,cognitive_hand,1,SPD,hand,1,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2598.0,2598.5,2603.3,218.0,218.5,223.3
284,24,3,cognitive_hand,1,SPD,hand,1,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2606.0,2607.0,2612.3,226.0,227.0,232.3
285,25,3,cognitive_hand,0,ACC,hand,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2616.0,2616.0,2621.8,236.0,236.0,241.8
286,26,3,cognitive_hand,1,SPD,hand,1,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2624.0,2625.5,2630.3,244.0,245.5,250.3
287,27,3,cognitive_hand,0,SPD,hand,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2634.0,2634.5,2640.3,254.0,254.5,260.3
288,28,3,cognitive_hand,1,ACC,hand,3,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2644.0,2644.5,2650.8,264.0,264.5,270.8
289,29,3,cognitive_hand,0,SPD,hand,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2654.0,2654.5,2659.8,274.0,274.5,279.8
290,30,3,cognitive_hand,1,SPD,hand,1,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2662.0,2663.5,2669.3,282.0,283.5,289.3
291,31,3,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2672.0,2672.0,2676.8,292.0,292.0,296.8
292,32,3,cognitive_hand,1,SPD,hand,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2680.0,2681.0,2685.8,300.0,301.0,305.8
293,33,3,cognitive_hand,0,ACC,hand,2,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2688.0,2689.0,2693.8,308.0,309.0,313.8
294,34,3,cognitive_hand,0,ACC,hand,2,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2696.0,2697.5,2703.3,316.0,317.5,323.3
295,35,3,cognitive_hand,1,SPD,hand,1,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2706.0,2707.0,2712.8,326.0,327.0,332.8
296,36,3,cognitive_hand,0,SPD,hand,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2716.0,2717.5,2723.8,336.0,337.5,343.8
297,37,3,cognitive_hand,0,SPD,hand,0,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2726.0,2727.0,2732.8,346.0,347.0,352.8
298,38,3,cognitive_hand,0,SPD,hand,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2736.0,2736.5,2741.8,356.0,356.5,361.8
299,39,3,cognitive_hand,0,ACC,hand,2,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2744.0,2745.5,2750.8,364.0,365.5,370.8
300,40,3,cognitive_hand,1,ACC,hand,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2754.0,2755.5,2761.3,374.0,375.5,381.3
