trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
260,0,3,limbic_eye,1,LEFT,eye,3,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2392.0,2393.0,2397.8,0.0,1.0,5.8
261,1,3,limbic_eye,1,LEFT,eye,3,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,2400.0,2401.0,2407.3,8.0,9.0,15.3
262,2,3,limbic_eye,0,LEFT,eye,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2410.0,2411.0,2416.3,18.0,19.0,24.3
263,3,3,limbic_eye,0,RIGHT,eye,4,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2420.0,2421.5,2426.3,28.0,29.5,34.3
264,4,3,limbic_eye,1,RIGHT,eye,5,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2430.0,2431.5,2437.8,38.0,39.5,45.8
265,5,3,limbic_eye,1,RIGHT,eye,5,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2440.0,2440.0,2445.3,48.0,48.0,53.3
266,6,3,limbic_eye,1,NEU,eye,1,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2448.0,2449.0,2454.3,56.0,57.0,62.3
267,7,3,limbic_eye,0,RIGHT,eye,4,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2458.0,2459.0,2464.8,66.0,67.0,72.8
268,8,3,limbic_eye,1,LEFT,eye,3,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2468.0,2468.0,2472.8,76.0,76.0,80.8
269,9,3,limbic_eye,1,RIGHT,eye,5,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2476.0,2476.0,2482.3,84.0,84.0,90.3
270,10,3,limbic_eye,0,NEU,eye,0,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2486.0,2487.0,2492.3,94.0,95.0,100.3
271,11,3,limbic_eye,1,LEFT,eye,3,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2496.0,2496.0,2501.8,104.0,104.0,109.8
272,12,3,limbic_eye,1,LEFT,eye,3,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2504.0,2504.5,2509.8,112.0,112.5,117.8
273,13,3,limbic_eye,1,NEU,eye,1,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2512.0,2513.5,2519.3,120.0,121.5,127.3
274,14,3,limbic_eye,1,NEU,eye,1,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2522.0,2522.5,2527.8,130.0,130.5,135.8
275,15,3,limbic_eye,0,NEU,eye,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2530.0,2530.5,2536.3,138.0,138.5,144.3
276,16,3,limbic_eye,1,RIGHT,eye,5,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2540.0,2541.5,2547.3,148.0,149.5,155.3
277,17,3,limbic_eye,0,LEFT,eye,2,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2550.0,2551.5,2556.3,158.0,159.5,164.3
278,18,3,limbic_eye,0,RIGHT,eye,4,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2560.0,2561.5,2566.8,168.0,169.5,174.8
279,19,3,limbic_eye,1,RIGHT,eye,5,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2570.0,2571.0,2575.8,178.0,179.0,183.8
280,20,3,limbic_eye,0,NEU,eye,0,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2578.0,2578.0,2582.8,186.0,186.0,190.8
281,21,3,limbic_eye,1,RIGHT,eye,5,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2586.0,2586.0,2591.3,194.0,194.0,199.3
282,22,3,limbic_eye,0,NEU,eye,0,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2594.0,2594.0,2599.8,202.0,202.0,207.8
283,23,3,limbic_eye,0,LEFT,eye,2,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2602.0,2602.0,2606.8,210.0,210.0,214.8
284,24,3,limbic_eye,0,NEU,eye,0,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2610.0,2610.0,2616.3,218.0,218.0,224.3
285,25,3,limbic_eye,0,LEFT,eye,2,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2620.0,2620.0,2624.8,228.0,228.0,232.8
286,26,3,limbic_eye,1,LEFT,eye,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2628.0,2629.5,2635.3,236.0,237.5,243.3
287,27,3,limbic_eye,0,RIGHT,eye,4,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,2638.0,2639.0,2645.3,246.0,247.0,253.3
288,28,3,limbic_eye,0,NEU,eye,0,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2648.0,2649.5,2655.3,256.0,257.5,263.3
289,29,3,limbic_eye,0,RIGHT,eye,4,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2658.0,2659.0,2663.8,266.0,267.0,271.8
290,30,3,limbic_eye,1,RIGHT,eye,5,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2666.0,2666.5,2672.8,274.0,274.5,280.8
291,31,3,limbic_eye,0,RIGHT,eye,4,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2676.0,2676.0,2682.3,284.0,284.0,290.3
292,32,3,limbic_eye,1,NEU,eye,1,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2686.0,2687.5,2692.3,294.0,295.5,300.3
293,33,3,limbic_eye,0,NEU,eye,0,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2696.0,2697.0,2702.8,304.0,305.0,310.8
294,34,3,limbic_eye,1,RIGHT,eye,5,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2706.0,2706.5,2711.3,314.0,314.5,319.3
295,35,3,limbic_eye,1,NEU,eye,1,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2714.0,2714.0,2720.3,322.0,322.0,328.3
296,36,3,limbic_eye,1,NEU,eye,1,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2724.0,2724.5,2729.8,332.0,332.5,337.8
297,37,3,limbic_eye,0,LEFT,eye,2,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2732.0,2732.0,2737.3,340.0,340.0,345.3
298,38,3,limbic_eye,1,NEU,eye,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2740.0,2740.0,2745.3,348.0,348.0,353.3
299,39,3,limbic_eye,0,LEFT,eye,2,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2748.0,2748.0,2752.8,356.0,356.0,360.8
300,40,3,limbic_eye,1,RIGHT,eye,5,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2756.0,2756.5,2761.3,364.0,364.5,369.3
301,41,3,limbic_eye,1,RIGHT,eye,5,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2764.0,2765.0,2770.8,372.0,373.0,378.8
302,42,3,limbic_eye,0,RIGHT,eye,4,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2774.0,2774.5,2779.3,382.0,382.5,387.3
303,43,3,limbic_eye,1,NEU,eye,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2782.0,2782.0,2787.3,390.0,390.0,395.3
304,44,3,limbic_eye,0,RIGHT,eye,4,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2790.0,2790.5,2796.3,398.0,398.5,404.3
305,45,3,limbic_eye,0,LEFT,eye,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2800.0,2800.0,2805.8,408.0,408.0,413.8
306,46,3,limbic_eye,0,LEFT,eye,2,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2808.0,2809.5,2814.8,416.0,417.5,422.8
307,47,3,limbic_eye,1,RIGHT,eye,5,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2818.0,2819.5,2824.3,426.0,427.5,432.3
308,48,3,limbic_eye,1,NEU,eye,1,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2828.0,2829.5,2835.3,436.0,437.5,443.3
309,49,3,limbic_eye,0,LEFT,eye,2,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2838.0,2838.5,2843.8,446.0,446.5,451.8
310,50,3,limbic_eye,1,LEFT,eye,3,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2846.0,2847.0,2852.8,454.0,455.0,460.8
311,51,3,limbic_eye,0,LEFT,eye,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2856.0,2856.0,2861.8,464.0,464.0,469.8
312,52,3,limbic_eye,0,LEFT,eye,2,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2864.0,2864.5,2869.8,472.0,472.5,477.8
313,53,3,limbic_eye,0,NEU,eye,0,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2872.0,2872.0,2876.8,480.0,480.0,484.8
314,54,3,limbic_eye,0,RIGHT,eye,4,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,2880.0,2881.0,2887.3,488.0,489.0,495.3
315,55,3,limbic_eye,1,NEU,eye,1,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2890.0,2890.0,2894.8,498.0,498.0,502.8
316,56,3,limbic_eye,1,LEFT,eye,3,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2898.0,2899.5,2905.8,506.0,507.5,513.8
317,57,3,limbic_eye,1,NEU,eye,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2908.0,2909.0,2913.8,516.0,517.0,521.8
318,58,3,limbic_eye,0,RIGHT,eye,4,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2916.0,2916.0,2921.3,524.0,524.0,529.3
319,59,3,limbic_eye,0,NEU,eye,0,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2924.0,2925.0,2929.8,532.0,533.0,537.8
320,60,3,limbic_eye,1,RIGHT,eye,5,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2932.0,2932.5,2938.8,540.0,540.5,546.8
