trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
335,0,4,limbic_hand,False,1,NEU,hand,1,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,3010.0,3011.0,3016.8,0.0,1.0,6.8
336,1,4,limbic_hand,False,0,RIGHT,hand,4,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,3020.0,3020.5,3026.3,10.0,10.5,16.3
337,2,4,limbic_hand,False,0,RIGHT,hand,4,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,3030.0,3031.5,3036.3,20.0,21.5,26.3
338,3,4,limbic_hand,False,0,NEU,hand,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,3040.0,3041.5,3047.8,30.0,31.5,37.8
339,4,4,limbic_hand,False,1,LEFT,hand,3,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3050.0,3051.0,3055.8,40.0,41.0,45.8
340,5,4,limbic_hand,False,1,LEFT,hand,3,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,3058.0,3059.0,3064.3,48.0,49.0,54.3
341,6,4,limbic_hand,False,0,NEU,hand,0,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,3068.0,3068.5,3074.8,58.0,58.5,64.8
342,7,4,limbic_hand,False,0,RIGHT,hand,4,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,3078.0,3079.0,3085.3,68.0,69.0,75.3
343,8,4,limbic_hand,False,0,RIGHT,hand,4,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3088.0,3089.0,3093.8,78.0,79.0,83.8
344,9,4,limbic_hand,True,,,hand,,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3096.0,3096.0,3102.3,86.0,86.0,92.3
345,10,4,limbic_hand,False,0,RIGHT,hand,4,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3106.0,3106.0,3110.8,96.0,96.0,100.8
346,11,4,limbic_hand,False,1,NEU,hand,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3114.0,3115.0,3119.8,104.0,105.0,109.8
347,12,4,limbic_hand,False,1,LEFT,hand,3,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3122.0,3122.0,3126.8,112.0,112.0,116.8
348,13,4,limbic_hand,False,1,RIGHT,hand,5,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,3130.0,3131.5,3136.3,120.0,121.5,126.3
349,14,4,limbic_hand,False,0,RIGHT,hand,4,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,3140.0,3141.5,3146.8,130.0,131.5,136.8
350,15,4,limbic_hand,False,0,NEU,hand,0,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,3150.0,3151.5,3157.3,140.0,141.5,147.3
351,16,4,limbic_hand,False,1,RIGHT,hand,5,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,3160.0,3161.5,3166.8,150.0,151.5,156.8
352,17,4,limbic_hand,True,,,hand,,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,3170.0,3171.0,3177.3,160.0,161.0,167.3
353,18,4,limbic_hand,False,1,NEU,hand,1,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,3180.0,3180.5,3186.8,170.0,170.5,176.8
354,19,4,limbic_hand,False,0,NEU,hand,0,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3190.0,3190.5,3195.3,180.0,180.5,185.3
355,20,4,limbic_hand,False,0,LEFT,hand,2,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,3198.0,3199.5,3204.8,188.0,189.5,194.8
356,21,4,limbic_hand,False,0,LEFT,hand,2,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3208.0,3208.5,3213.3,198.0,198.5,203.3
357,22,4,limbic_hand,False,0,NEU,hand,0,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,3216.0,3216.5,3222.8,206.0,206.5,212.8
358,23,4,limbic_hand,False,1,LEFT,hand,3,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3226.0,3226.0,3231.8,216.0,216.0,221.8
359,24,4,limbic_hand,False,1,LEFT,hand,3,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,3234.0,3234.0,3239.3,224.0,224.0,229.3
360,25,4,limbic_hand,True,,,hand,,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3242.0,3243.0,3247.8,232.0,233.0,237.8
361,26,4,limbic_hand,False,0,NEU,hand,0,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3250.0,3250.5,3255.3,240.0,240.5,245.3
362,27,4,limbic_hand,False,0,NEU,hand,0,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,3258.0,3259.0,3264.3,248.0,249.0,254.3
363,28,4,limbic_hand,False,0,LEFT,hand,2,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3268.0,3268.0,3274.3,258.0,258.0,264.3
364,29,4,limbic_hand,False,0,NEU,hand,0,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,3278.0,3279.5,3284.3,268.0,269.5,274.3
365,30,4,limbic_hand,False,1,LEFT,hand,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,3288.0,3289.5,3295.3,278.0,279.5,285.3
366,31,4,limbic_hand,False,0,RIGHT,hand,4,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,3298.0,3298.5,3304.3,288.0,288.5,294.3
367,32,4,limbic_hand,False,0,LEFT,hand,2,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3308.0,3308.0,3314.3,298.0,298.0,304.3
368,33,4,limbic_hand,True,,,hand,,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,3318.0,3318.5,3324.8,308.0,308.5,314.8
369,34,4,limbic_hand,False,1,NEU,hand,1,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,3328.0,3329.5,3335.8,318.0,319.5,325.8
370,35,4,limbic_hand,False,0,RIGHT,hand,4,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,3338.0,3339.0,3345.3,328.0,329.0,335.3
371,36,4,limbic_hand,False,0,NEU,hand,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,3348.0,3348.5,3354.3,338.0,338.5,344.3
372,37,4,limbic_hand,False,1,NEU,hand,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3358.0,3359.0,3363.8,348.0,349.0,353.8
373,38,4,limbic_hand,False,1,RIGHT,hand,5,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,3366.0,3367.5,3372.3,356.0,357.5,362.3
374,39,4,limbic_hand,False,1,RIGHT,hand,5,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,3376.0,3377.5,3382.3,366.0,367.5,372.3
375,40,4,limbic_hand,False,0,NEU,hand,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,3386.0,3387.5,3393.8,376.0,377.5,383.8
376,41,4,limbic_hand,False,1,RIGHT,hand,5,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3396.0,3396.0,3401.8,386.0,386.0,391.8
377,42,4,limbic_hand,False,1,RIGHT,hand,5,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,3404.0,3405.5,3411.8,394.0,395.5,401.8
378,43,4,limbic_hand,False,0,NEU,hand,0,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,3414.0,3415.0,3421.3,404.0,405.0,411.3
379,44,4,limbic_hand,True,,,hand,,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3424.0,3425.0,3429.8,414.0,415.0,419.8
380,45,4,limbic_hand,False,1,LEFT,hand,3,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,3432.0,3433.0,3438.3,422.0,423.0,428.3
381,46,4,limbic_hand,False,0,RIGHT,hand,4,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,3442.0,3442.5,3448.8,432.0,432.5,438.8
382,47,4,limbic_hand,False,1,NEU,hand,1,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,3452.0,3453.5,3459.8,442.0,443.5,449.8
383,48,4,limbic_hand,False,1,RIGHT,hand,5,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3462.0,3462.0,3466.8,452.0,452.0,456.8
384,49,4,limbic_hand,False,1,RIGHT,hand,5,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,3470.0,3470.5,3475.8,460.0,460.5,465.8
385,50,4,limbic_hand,False,1,RIGHT,hand,5,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3478.0,3478.0,3484.3,468.0,468.0,474.3
386,51,4,limbic_hand,False,0,LEFT,hand,2,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,3488.0,3489.0,3495.3,478.0,479.0,485.3
387,52,4,limbic_hand,False,1,LEFT,hand,3,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,3498.0,3499.5,3504.3,488.0,489.5,494.3
388,53,4,limbic_hand,False,0,LEFT,hand,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3508.0,3508.0,3513.8,498.0,498.0,503.8
389,54,4,limbic_hand,False,1,NEU,hand,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,3516.0,3516.0,3521.3,506.0,506.0,511.3
390,55,4,limbic_hand,True,,,hand,,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3524.0,3524.0,3528.8,514.0,514.0,518.8
391,56,4,limbic_hand,False,0,RIGHT,hand,4,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,3532.0,3533.5,3539.3,522.0,523.5,529.3
