trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
380,0,4,cognitive_eye,0,SPD,eye,0,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3482.0,3482.0,3487.8,0.0,0.0,5.8
381,1,4,cognitive_eye,1,ACC,eye,3,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3490.0,3490.0,3496.3,8.0,8.0,14.3
382,2,4,cognitive_eye,1,SPD,eye,1,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3500.0,3500.5,3505.3,18.0,18.5,23.3
383,3,4,cognitive_eye,1,SPD,eye,1,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,3508.0,3509.5,3515.8,26.0,27.5,33.8
384,4,4,cognitive_eye,0,ACC,eye,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3518.0,3518.0,3523.8,36.0,36.0,41.8
385,5,4,cognitive_eye,0,ACC,eye,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3526.0,3526.0,3531.8,44.0,44.0,49.8
386,6,4,cognitive_eye,1,SPD,eye,1,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,3534.0,3534.5,3540.3,52.0,52.5,58.3
387,7,4,cognitive_eye,0,SPD,eye,0,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,3544.0,3545.0,3551.3,62.0,63.0,69.3
388,8,4,cognitive_eye,1,SPD,eye,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3554.0,3555.0,3559.8,72.0,73.0,77.8
389,9,4,cognitive_eye,0,SPD,eye,0,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,3562.0,3563.5,3568.8,80.0,81.5,86.8
390,10,4,cognitive_eye,1,ACC,eye,3,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3572.0,3572.0,3576.8,90.0,90.0,94.8
391,11,4,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,3580.0,3580.0,3585.3,98.0,98.0,103.3
392,12,4,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,3588.0,3589.0,3594.8,106.0,107.0,112.8
393,13,4,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,3598.0,3599.0,3605.3,116.0,117.0,123.3
394,14,4,cognitive_eye,0,SPD,eye,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,3608.0,3609.5,3615.8,126.0,127.5,133.8
395,15,4,cognitive_eye,0,SPD,eye,0,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3618.0,3618.0,3623.8,136.0,136.0,141.8
