trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
380,0,4,limbic_hand,1,RIGHT,hand,5,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3472.0,3472.0,3478.3,0.0,0.0,6.3
381,1,4,limbic_hand,1,NEU,hand,1,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3482.0,3482.0,3488.3,10.0,10.0,16.3
382,2,4,limbic_hand,0,RIGHT,hand,4,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,3492.0,3493.0,3498.8,20.0,21.0,26.8
383,3,4,limbic_hand,0,LEFT,hand,2,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3502.0,3502.5,3507.3,30.0,30.5,35.3
384,4,4,limbic_hand,0,LEFT,hand,2,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3510.0,3510.0,3514.8,38.0,38.0,42.8
385,5,4,limbic_hand,0,RIGHT,hand,4,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,3518.0,3518.5,3524.3,46.0,46.5,52.3
386,6,4,limbic_hand,1,LEFT,hand,3,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3528.0,3528.5,3533.3,56.0,56.5,61.3
387,7,4,limbic_hand,1,LEFT,hand,3,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,3536.0,3537.0,3542.3,64.0,65.0,70.3
388,8,4,limbic_hand,0,NEU,hand,0,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,3546.0,3547.0,3553.3,74.0,75.0,81.3
389,9,4,limbic_hand,1,RIGHT,hand,5,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3556.0,3557.0,3561.8,84.0,85.0,89.8
390,10,4,limbic_hand,1,NEU,hand,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3564.0,3565.0,3569.8,92.0,93.0,97.8
391,11,4,limbic_hand,0,NEU,hand,0,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3572.0,3572.5,3577.3,100.0,100.5,105.3
392,12,4,limbic_hand,1,RIGHT,hand,5,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,3580.0,3580.5,3586.8,108.0,108.5,114.8
393,13,4,limbic_hand,1,NEU,hand,1,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3590.0,3590.0,3594.8,118.0,118.0,122.8
394,14,4,limbic_hand,1,LEFT,hand,3,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3598.0,3598.0,3602.8,126.0,126.0,130.8
395,15,4,limbic_hand,0,LEFT,hand,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3606.0,3606.0,3611.8,134.0,134.0,139.8
396,16,4,limbic_hand,1,RIGHT,hand,5,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,3614.0,3615.0,3620.3,142.0,143.0,148.3
397,17,4,limbic_hand,1,NEU,hand,1,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,3624.0,3624.5,3630.3,152.0,152.5,158.3
398,18,4,limbic_hand,0,LEFT,hand,2,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3634.0,3634.5,3639.3,162.0,162.5,167.3
399,19,4,limbic_hand,0,RIGHT,hand,4,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3642.0,3642.0,3648.3,170.0,170.0,176.3
400,20,4,limbic_hand,0,LEFT,hand,2,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,3652.0,3652.5,3657.3,180.0,180.5,185.3
401,21,4,limbic_hand,1,LEFT,hand,3,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,3660.0,3661.0,3666.8,188.0,189.0,194.8
402,22,4,limbic_hand,1,NEU,hand,1,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,3670.0,3670.0,3676.3,198.0,198.0,204.3
403,23,4,limbic_hand,1,RIGHT,hand,5,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,3680.0,3681.0,3686.8,208.0,209.0,214.8
404,24,4,limbic_hand,1,LEFT,hand,3,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,3690.0,3690.0,3694.8,218.0,218.0,222.8
