trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
48,0,1,limbic_eye,False,0,RIGHT,eye,4,0,1.5,1,3.0,2.0,0,0.5,1.0,9.0,288.0,289.5,293.5,0.0,1.5,5.5
49,1,1,limbic_eye,False,0,LEFT,eye,2,0,0.75,1,0.75,2.0,0,0.5,4.0,9.0,297.0,297.75,299.5,9.0,9.75,11.5
50,2,1,limbic_eye,False,1,LEFT,eye,3,0,0.75,1,3.0,2.0,0,0.5,1.75,9.0,306.0,306.75,310.75,18.0,18.75,22.75
51,3,1,limbic_eye,False,0,RIGHT,eye,4,0,0.75,1,0.75,2.0,0,0.5,4.0,9.0,315.0,315.75,317.5,27.0,27.75,29.5
52,4,1,limbic_eye,False,1,LEFT,eye,3,0,2.25,1,2.25,2.0,0,0.5,1.0,9.0,324.0,326.25,329.5,36.0,38.25,41.5
53,5,1,limbic_eye,False,1,LEFT,eye,3,0,2.25,1,3.0,2.0,0,0.5,0.25,9.0,333.0,335.25,339.25,45.0,47.25,51.25
54,6,1,limbic_eye,False,1,LEFT,eye,3,0,0.75,1,0.75,2.0,0,0.5,4.0,9.0,342.0,342.75,344.5,54.0,54.75,56.5
55,7,1,limbic_eye,False,0,LEFT,eye,2,0,0.0,1,1.5,2.0,0,0.5,4.0,9.0,351.0,351.0,353.5,63.0,63.0,65.5
56,8,1,limbic_eye,True,,,eye,,0,0.0,1,0.75,2.0,0,0.5,4.75,9.0,360.0,360.0,361.75,72.0,72.0,73.75
57,9,1,limbic_eye,False,1,NEU,eye,1,0,1.5,1,0.75,2.0,0,0.5,3.25,9.0,369.0,370.5,372.25,81.0,82.5,84.25
58,10,1,limbic_eye,False,0,RIGHT,eye,4,0,0.75,1,2.25,2.0,0,0.5,2.5,9.0,378.0,378.75,382.0,90.0,90.75,94.0
59,11,1,limbic_eye,False,1,LEFT,eye,3,0,0.0,1,3.0,2.0,0,0.5,2.5,9.0,387.0,387.0,391.0,99.0,99.0,103.0
60,12,1,limbic_eye,False,0,NEU,eye,0,0,2.25,1,3.0,2.0,0,0.5,0.25,9.0,396.0,398.25,402.25,108.0,110.25,114.25
61,13,1,limbic_eye,False,0,RIGHT,eye,4,0,1.5,1,0.75,2.0,0,0.5,3.25,9.0,405.0,406.5,408.25,117.0,118.5,120.25
62,14,1,limbic_eye,False,1,NEU,eye,1,0,0.75,1,0.75,2.0,0,0.5,4.0,9.0,414.0,414.75,416.5,126.0,126.75,128.5
63,15,1,limbic_eye,False,1,RIGHT,eye,5,0,0.75,1,0.75,2.0,0,0.5,4.0,9.0,423.0,423.75,425.5,135.0,135.75,137.5
64,16,1,limbic_eye,False,0,NEU,eye,0,0,2.25,1,0.75,2.0,0,0.5,2.5,9.0,432.0,434.25,436.0,144.0,146.25,148.0
65,17,1,limbic_eye,False,0,NEU,eye,0,0,2.25,1,3.0,2.0,0,0.5,0.25,9.0,441.0,443.25,447.25,153.0,155.25,159.25
66,18,1,limbic_eye,False,0,LEFT,eye,2,0,1.5,1,0.75,2.0,0,0.5,3.25,9.0,450.0,451.5,453.25,162.0,163.5,165.25
67,19,1,limbic_eye,False,1,RIGHT,eye,5,0,0.0,1,2.25,2.0,0,0.5,3.25,9.0,459.0,459.0,462.25,171.0,171.0,174.25
68,20,1,limbic_eye,False,0,LEFT,eye,2,0,2.25,1,3.0,2.0,0,0.5,0.25,9.0,468.0,470.25,474.25,180.0,182.25,186.25
69,21,1,limbic_eye,True,,,eye,,0,1.5,1,2.25,2.0,0,0.5,1.75,9.0,477.0,478.5,481.75,189.0,190.5,193.75
70,22,1,limbic_eye,False,1,NEU,eye,1,0,2.25,1,2.25,2.0,0,0.5,1.0,9.0,486.0,488.25,491.5,198.0,200.25,203.5
71,23,1,limbic_eye,False,1,NEU,eye,1,0,2.25,1,2.25,2.0,0,0.5,1.0,9.0,495.0,497.25,500.5,207.0,209.25,212.5
72,24,1,limbic_eye,False,0,LEFT,eye,2,0,1.5,1,3.0,2.0,0,0.5,1.0,9.0,504.0,505.5,509.5,216.0,217.5,221.5
73,25,1,limbic_eye,False,1,RIGHT,eye,5,0,1.5,1,3.0,2.0,0,0.5,1.0,9.0,513.0,514.5,518.5,225.0,226.5,230.5
74,26,1,limbic_eye,False,1,RIGHT,eye,5,0,0.75,1,3.0,2.0,0,0.5,1.75,9.0,522.0,522.75,526.75,234.0,234.75,238.75
75,27,1,limbic_eye,False,1,LEFT,eye,3,0,0.75,1,3.0,2.0,0,0.5,1.75,9.0,531.0,531.75,535.75,243.0,243.75,247.75
76,28,1,limbic_eye,False,0,LEFT,eye,2,0,0.0,1,1.5,2.0,0,0.5,4.0,9.0,540.0,540.0,542.5,252.0,252.0,254.5
77,29,1,limbic_eye,True,,,eye,,0,2.25,1,2.25,2.0,0,0.5,1.0,9.0,549.0,551.25,554.5,261.0,263.25,266.5
78,30,1,limbic_eye,False,1,RIGHT,eye,5,0,0.0,1,3.0,2.0,0,0.5,2.5,9.0,558.0,558.0,562.0,270.0,270.0,274.0
79,31,1,limbic_eye,False,0,LEFT,eye,2,0,0.0,1,0.75,2.0,0,0.5,4.75,9.0,567.0,567.0,568.75,279.0,279.0,280.75
80,32,1,limbic_eye,False,1,RIGHT,eye,5,0,0.75,1,2.25,2.0,0,0.5,2.5,9.0,576.0,576.75,580.0,288.0,288.75,292.0
81,33,1,limbic_eye,False,0,NEU,eye,0,0,0.0,1,3.0,2.0,0,0.5,2.5,9.0,585.0,585.0,589.0,297.0,297.0,301.0
82,34,1,limbic_eye,False,1,LEFT,eye,3,0,0.0,1,0.75,2.0,0,0.5,4.75,9.0,594.0,594.0,595.75,306.0,306.0,307.75
83,35,1,limbic_eye,False,1,NEU,eye,1,0,0.75,1,2.25,2.0,0,0.5,2.5,9.0,603.0,603.75,607.0,315.0,315.75,319.0
84,36,1,limbic_eye,True,,,eye,,0,2.25,1,0.75,2.0,0,0.5,2.5,9.0,612.0,614.25,616.0,324.0,326.25,328.0
85,37,1,limbic_eye,False,0,RIGHT,eye,4,0,2.25,1,0.75,2.0,0,0.5,2.5,9.0,621.0,623.25,625.0,333.0,335.25,337.0
86,38,1,limbic_eye,False,0,NEU,eye,0,0,2.25,1,1.5,2.0,0,0.5,1.75,9.0,630.0,632.25,634.75,342.0,344.25,346.75
87,39,1,limbic_eye,False,1,RIGHT,eye,5,0,0.0,1,1.5,2.0,0,0.5,4.0,9.0,639.0,639.0,641.5,351.0,351.0,353.5
