trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
230,0,3,limbic_hand,False,1,LEFT,hand,3,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2058.0,2058.5,2063.8,0.0,0.5,5.8
231,1,3,limbic_hand,False,1,LEFT,hand,3,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2066.0,2067.0,2072.3,8.0,9.0,14.3
232,2,3,limbic_hand,False,0,NEU,hand,0,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2076.0,2077.5,2082.8,18.0,19.5,24.8
233,3,3,limbic_hand,False,0,RIGHT,hand,4,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2086.0,2087.5,2093.3,28.0,29.5,35.3
234,4,3,limbic_hand,True,,,hand,,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2096.0,2096.5,2101.3,38.0,38.5,43.3
235,5,3,limbic_hand,False,1,RIGHT,hand,5,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2104.0,2104.0,2110.3,46.0,46.0,52.3
236,6,3,limbic_hand,False,0,LEFT,hand,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2114.0,2115.0,2120.3,56.0,57.0,62.3
237,7,3,limbic_hand,False,0,NEU,hand,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2124.0,2124.5,2129.8,66.0,66.5,71.8
238,8,3,limbic_hand,False,1,NEU,hand,1,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2132.0,2132.5,2138.3,74.0,74.5,80.3
239,9,3,limbic_hand,False,0,LEFT,hand,2,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2142.0,2143.0,2147.8,84.0,85.0,89.8
240,10,3,limbic_hand,False,0,NEU,hand,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2150.0,2151.5,2157.8,92.0,93.5,99.8
241,11,3,limbic_hand,False,0,NEU,hand,0,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2160.0,2160.5,2165.3,102.0,102.5,107.3
242,12,3,limbic_hand,False,1,NEU,hand,1,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2168.0,2168.5,2174.3,110.0,110.5,116.3
243,13,3,limbic_hand,True,,,hand,,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2178.0,2178.5,2184.8,120.0,120.5,126.8
244,14,3,limbic_hand,False,1,LEFT,hand,3,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2188.0,2189.5,2195.8,130.0,131.5,137.8
245,15,3,limbic_hand,False,0,RIGHT,hand,4,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2198.0,2199.5,2204.8,140.0,141.5,146.8
246,16,3,limbic_hand,False,1,LEFT,hand,3,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2208.0,2208.0,2214.3,150.0,150.0,156.3
247,17,3,limbic_hand,False,1,NEU,hand,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2218.0,2219.0,2223.8,160.0,161.0,165.8
248,18,3,limbic_hand,False,1,NEU,hand,1,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2226.0,2226.0,2230.8,168.0,168.0,172.8
249,19,3,limbic_hand,False,1,NEU,hand,1,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2234.0,2235.0,2240.8,176.0,177.0,182.8
250,20,3,limbic_hand,False,0,LEFT,hand,2,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2244.0,2245.0,2249.8,186.0,187.0,191.8
251,21,3,limbic_hand,False,0,LEFT,hand,2,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2252.0,2253.5,2258.3,194.0,195.5,200.3
252,22,3,limbic_hand,True,,,hand,,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2262.0,2262.5,2267.8,204.0,204.5,209.8
253,23,3,limbic_hand,False,1,RIGHT,hand,5,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2270.0,2271.5,2277.8,212.0,213.5,219.8
254,24,3,limbic_hand,False,1,RIGHT,hand,5,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,2280.0,2281.0,2287.3,222.0,223.0,229.3
255,25,3,limbic_hand,False,0,NEU,hand,0,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2290.0,2290.5,2296.8,232.0,232.5,238.8
256,26,3,limbic_hand,False,0,RIGHT,hand,4,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2300.0,2300.0,2305.8,242.0,242.0,247.8
257,27,3,limbic_hand,False,0,NEU,hand,0,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2308.0,2309.0,2314.3,250.0,251.0,256.3
258,28,3,limbic_hand,False,1,RIGHT,hand,5,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2318.0,2318.5,2323.3,260.0,260.5,265.3
259,29,3,limbic_hand,False,1,LEFT,hand,3,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2326.0,2327.5,2332.8,268.0,269.5,274.8
260,30,3,limbic_hand,False,0,RIGHT,hand,4,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2336.0,2337.5,2343.3,278.0,279.5,285.3
261,31,3,limbic_hand,False,1,LEFT,hand,3,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2346.0,2346.5,2352.8,288.0,288.5,294.8
262,32,3,limbic_hand,False,0,RIGHT,hand,4,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2356.0,2357.5,2363.3,298.0,299.5,305.3
263,33,3,limbic_hand,False,1,RIGHT,hand,5,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2366.0,2366.5,2372.8,308.0,308.5,314.8
264,34,3,limbic_hand,False,1,RIGHT,hand,5,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,2376.0,2377.0,2383.3,318.0,319.0,325.3
265,35,3,limbic_hand,True,,,hand,,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2386.0,2386.5,2392.8,328.0,328.5,334.8
266,36,3,limbic_hand,False,1,NEU,hand,1,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,2396.0,2397.0,2403.3,338.0,339.0,345.3
267,37,3,limbic_hand,False,0,RIGHT,hand,4,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2406.0,2407.0,2412.8,348.0,349.0,354.8
268,38,3,limbic_hand,False,0,NEU,hand,0,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2416.0,2417.0,2422.3,358.0,359.0,364.3
269,39,3,limbic_hand,False,0,LEFT,hand,2,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2426.0,2426.5,2431.8,368.0,368.5,373.8
270,40,3,limbic_hand,False,1,NEU,hand,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2434.0,2434.0,2439.3,376.0,376.0,381.3
271,41,3,limbic_hand,False,1,LEFT,hand,3,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,2442.0,2442.0,2447.3,384.0,384.0,389.3
