trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
20,0,1,cognitive_hand,False,1,SPD,hand,1,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,80.0,81.0,86.8,0.0,1.0,6.8
21,1,1,cognitive_hand,False,0,ACC,hand,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,90.0,91.0,96.8,10.0,11.0,16.8
22,2,1,cognitive_hand,False,1,SPD,hand,1,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,100.0,100.5,106.8,20.0,20.5,26.8
23,3,1,cognitive_hand,False,1,ACC,hand,3,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,110.0,110.5,115.8,30.0,30.5,35.8
24,4,1,cognitive_hand,False,0,SPD,hand,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,118.0,118.5,123.8,38.0,38.5,43.8
25,5,1,cognitive_hand,False,1,SPD,hand,1,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,126.0,127.0,133.3,46.0,47.0,53.3
26,6,1,cognitive_hand,False,1,ACC,hand,3,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,136.0,137.0,143.3,56.0,57.0,63.3
27,7,1,cognitive_hand,False,1,SPD,hand,1,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,146.0,147.0,153.3,66.0,67.0,73.3
28,8,1,cognitive_hand,False,0,ACC,hand,2,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,156.0,156.5,162.8,76.0,76.5,82.8
29,9,1,cognitive_hand,False,0,ACC,hand,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,166.0,167.0,172.3,86.0,87.0,92.3
