trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
20,0,1,cognitive_eye,False,0,SPD,eye,0,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,80.0,80.0,85.3,0.0,0.0,5.3
21,1,1,cognitive_eye,False,0,ACC,eye,2,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,88.0,88.0,92.8,8.0,8.0,12.8
22,2,1,cognitive_eye,False,1,SPD,eye,1,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,96.0,96.0,101.8,16.0,16.0,21.8
23,3,1,cognitive_eye,False,1,ACC,eye,3,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,104.0,104.5,110.3,24.0,24.5,30.3
24,4,1,cognitive_eye,False,1,SPD,eye,1,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,114.0,114.5,120.8,34.0,34.5,40.8
25,5,1,cognitive_eye,True,,,eye,,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,124.0,125.5,130.3,44.0,45.5,50.3
26,6,1,cognitive_eye,False,1,ACC,eye,3,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,134.0,134.5,140.8,54.0,54.5,60.8
27,7,1,cognitive_eye,False,0,ACC,eye,2,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,144.0,144.0,148.8,64.0,64.0,68.8
28,8,1,cognitive_eye,False,0,ACC,eye,2,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,152.0,153.5,158.3,72.0,73.5,78.3
29,9,1,cognitive_eye,False,1,SPD,eye,1,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,162.0,162.0,166.8,82.0,82.0,86.8
30,10,1,cognitive_eye,False,0,ACC,eye,2,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,170.0,170.5,176.3,90.0,90.5,96.3
31,11,1,cognitive_eye,False,1,SPD,eye,1,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,180.0,180.0,186.3,100.0,100.0,106.3
32,12,1,cognitive_eye,False,0,ACC,eye,2,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,190.0,191.0,197.3,110.0,111.0,117.3
33,13,1,cognitive_eye,False,1,SPD,eye,1,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,200.0,201.0,207.3,120.0,121.0,127.3
34,14,1,cognitive_eye,False,0,SPD,eye,0,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,210.0,210.0,214.8,130.0,130.0,134.8
35,15,1,cognitive_eye,False,0,ACC,eye,2,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,218.0,218.0,224.3,138.0,138.0,144.3
36,16,1,cognitive_eye,False,1,SPD,eye,1,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,228.0,229.0,235.3,148.0,149.0,155.3
37,17,1,cognitive_eye,False,0,ACC,eye,2,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,238.0,238.5,244.3,158.0,158.5,164.3
38,18,1,cognitive_eye,False,1,ACC,eye,3,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,248.0,248.5,254.3,168.0,168.5,174.3
39,19,1,cognitive_eye,False,1,ACC,eye,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,258.0,259.5,265.3,178.0,179.5,185.3
40,20,1,cognitive_eye,True,,,eye,,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,268.0,268.5,273.8,188.0,188.5,193.8
41,21,1,cognitive_eye,False,0,SPD,eye,0,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,276.0,276.5,281.3,196.0,196.5,201.3
42,22,1,cognitive_eye,False,1,ACC,eye,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,284.0,285.5,291.3,204.0,205.5,211.3
43,23,1,cognitive_eye,False,1,SPD,eye,1,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,294.0,294.5,299.3,214.0,214.5,219.3
44,24,1,cognitive_eye,False,0,SPD,eye,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,302.0,302.5,308.3,222.0,222.5,228.3
45,25,1,cognitive_eye,False,1,SPD,eye,1,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,312.0,313.5,318.8,232.0,233.5,238.8
46,26,1,cognitive_eye,False,1,SPD,eye,1,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,322.0,323.0,328.3,242.0,243.0,248.3
47,27,1,cognitive_eye,False,1,ACC,eye,3,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,332.0,332.0,337.3,252.0,252.0,257.3
48,28,1,cognitive_eye,False,0,SPD,eye,0,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,340.0,341.0,346.8,260.0,261.0,266.8
49,29,1,cognitive_eye,False,0,SPD,eye,0,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,350.0,351.5,356.8,270.0,271.5,276.8
50,30,1,cognitive_eye,False,1,ACC,eye,3,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,360.0,361.0,367.3,280.0,281.0,287.3
51,31,1,cognitive_eye,True,,,eye,,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,370.0,370.0,375.3,290.0,290.0,295.3
52,32,1,cognitive_eye,False,0,ACC,eye,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,378.0,378.0,383.8,298.0,298.0,303.8
53,33,1,cognitive_eye,False,1,SPD,eye,1,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,386.0,386.5,392.8,306.0,306.5,312.8
54,34,1,cognitive_eye,False,0,ACC,eye,2,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,396.0,397.0,403.3,316.0,317.0,323.3
55,35,1,cognitive_eye,False,1,SPD,eye,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,406.0,406.0,411.3,326.0,326.0,331.3
