trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
121,0,2,cognitive_hand,False,0,ACC,hand,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,1206.0,1207.0,1212.3,0.0,1.0,6.3
122,1,2,cognitive_hand,False,0,ACC,hand,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,1216.0,1217.0,1222.3,10.0,11.0,16.3
123,2,2,cognitive_hand,False,1,ACC,hand,3,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,1226.0,1227.5,1232.8,20.0,21.5,26.8
124,3,2,cognitive_hand,False,1,SPD,hand,1,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,1236.0,1237.0,1243.3,30.0,31.0,37.3
125,4,2,cognitive_hand,True,,,hand,,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,1246.0,1247.0,1253.3,40.0,41.0,47.3
126,5,2,cognitive_hand,False,0,SPD,hand,0,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,1256.0,1256.5,1262.3,50.0,50.5,56.3
127,6,2,cognitive_hand,False,1,SPD,hand,1,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,1266.0,1267.5,1273.8,60.0,61.5,67.8
128,7,2,cognitive_hand,False,0,SPD,hand,0,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,1276.0,1276.0,1282.3,70.0,70.0,76.3
129,8,2,cognitive_hand,False,0,ACC,hand,2,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,1286.0,1287.5,1293.8,80.0,81.5,87.8
130,9,2,cognitive_hand,False,1,ACC,hand,3,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,1296.0,1296.0,1301.8,90.0,90.0,95.8
131,10,2,cognitive_hand,False,0,ACC,hand,2,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,1304.0,1304.5,1309.3,98.0,98.5,103.3
132,11,2,cognitive_hand,False,0,SPD,hand,0,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,1312.0,1312.0,1318.3,106.0,106.0,112.3
133,12,2,cognitive_hand,False,1,SPD,hand,1,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,1322.0,1323.0,1328.3,116.0,117.0,122.3
134,13,2,cognitive_hand,False,0,ACC,hand,2,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,1332.0,1332.0,1337.8,126.0,126.0,131.8
135,14,2,cognitive_hand,True,,,hand,,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,1340.0,1340.5,1345.8,134.0,134.5,139.8
136,15,2,cognitive_hand,False,1,SPD,hand,1,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,1348.0,1348.5,1354.8,142.0,142.5,148.8
137,16,2,cognitive_hand,False,0,SPD,hand,0,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,1358.0,1359.5,1365.3,152.0,153.5,159.3
138,17,2,cognitive_hand,False,0,ACC,hand,2,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,1368.0,1369.5,1375.8,162.0,163.5,169.8
139,18,2,cognitive_hand,False,1,SPD,hand,1,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,1378.0,1378.5,1383.8,172.0,172.5,177.8
