trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
232,0,3,cognitive_eye,False,0,SPD,eye,0,0,0.0,1.0,2.25,2.0,0,0.5,3.25,9.0,1944.0,1944.0,1947.25,0.0,0.0,3.25
233,1,3,cognitive_eye,False,1,ACC,eye,3,0,0.75,1.0,2.25,2.0,0,0.5,2.5,9.0,1953.0,1953.75,1957.0,9.0,9.75,13.0
234,2,3,cognitive_eye,False,0,ACC,eye,2,0,0.0,1.0,1.5,2.0,0,0.5,4.0,9.0,1962.0,1962.0,1964.5,18.0,18.0,20.5
235,3,3,cognitive_eye,False,0,ACC,eye,2,0,0.75,1.0,0.75,2.0,0,0.5,4.0,9.0,1971.0,1971.75,1973.5,27.0,27.75,29.5
236,4,3,cognitive_eye,False,1,ACC,eye,3,0,0.75,1.0,2.25,2.0,0,0.5,2.5,9.0,1980.0,1980.75,1984.0,36.0,36.75,40.0
237,5,3,cognitive_eye,True,,,eye,,0,2.25,1.0,1.5,2.0,0,0.5,1.75,9.0,1989.0,1991.25,1993.75,45.0,47.25,49.75
238,6,3,cognitive_eye,False,0,SPD,eye,0,0,0.75,1.0,1.5,2.0,0,0.5,3.25,9.0,1998.0,1998.75,2001.25,54.0,54.75,57.25
239,7,3,cognitive_eye,False,1,ACC,eye,3,0,0.75,1.0,1.5,2.0,0,0.5,3.25,9.0,2007.0,2007.75,2010.25,63.0,63.75,66.25
240,8,3,cognitive_eye,False,1,SPD,eye,1,0,0.75,1.0,0.75,2.0,0,0.5,4.0,9.0,2016.0,2016.75,2018.5,72.0,72.75,74.5
241,9,3,cognitive_eye,False,1,SPD,eye,1,0,0.75,1.0,2.25,2.0,0,0.5,2.5,9.0,2025.0,2025.75,2029.0,81.0,81.75,85.0
242,10,3,cognitive_eye,False,1,ACC,eye,3,0,0.0,1.0,0.75,2.0,0,0.5,4.75,9.0,2034.0,2034.0,2035.75,90.0,90.0,91.75
243,11,3,cognitive_eye,False,1,ACC,eye,3,0,0.0,1.0,3.0,2.0,0,0.5,2.5,9.0,2043.0,2043.0,2047.0,99.0,99.0,103.0
244,12,3,cognitive_eye,True,,,eye,,0,0.0,1.0,0.75,2.0,0,0.5,4.75,9.0,2052.0,2052.0,2053.75,108.0,108.0,109.75
245,13,3,cognitive_eye,False,0,SPD,eye,0,0,0.75,1.0,0.75,2.0,0,0.5,4.0,9.0,2061.0,2061.75,2063.5,117.0,117.75,119.5
