trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
48,0,1,limbic_hand,False,0,RIGHT,hand,4,0,0.0,1,0.75,2.0,0,0.5,4.75,9.0,288.0,288.0,289.75,0.0,0.0,1.75
49,1,1,limbic_hand,False,1,NEU,hand,1,0,0.75,1,0.75,2.0,0,0.5,4.0,9.0,297.0,297.75,299.5,9.0,9.75,11.5
50,2,1,limbic_hand,False,0,LEFT,hand,2,0,0.0,1,2.25,2.0,0,0.5,3.25,9.0,306.0,306.0,309.25,18.0,18.0,21.25
51,3,1,limbic_hand,False,0,LEFT,hand,2,0,0.75,1,3.0,2.0,0,0.5,1.75,9.0,315.0,315.75,319.75,27.0,27.75,31.75
52,4,1,limbic_hand,False,0,NEU,hand,0,0,0.0,1,1.5,2.0,0,0.5,4.0,9.0,324.0,324.0,326.5,36.0,36.0,38.5
53,5,1,limbic_hand,False,0,RIGHT,hand,4,0,0.0,1,3.0,2.0,0,0.5,2.5,9.0,333.0,333.0,337.0,45.0,45.0,49.0
54,6,1,limbic_hand,False,1,RIGHT,hand,5,0,0.75,1,1.5,2.0,0,0.5,3.25,9.0,342.0,342.75,345.25,54.0,54.75,57.25
55,7,1,limbic_hand,False,1,NEU,hand,1,0,0.75,1,2.25,2.0,0,0.5,2.5,9.0,351.0,351.75,355.0,63.0,63.75,67.0
56,8,1,limbic_hand,False,0,RIGHT,hand,4,0,1.5,1,3.0,2.0,0,0.5,1.0,9.0,360.0,361.5,365.5,72.0,73.5,77.5
57,9,1,limbic_hand,True,,,hand,,0,2.25,1,1.5,2.0,0,0.5,1.75,9.0,369.0,371.25,373.75,81.0,83.25,85.75
58,10,1,limbic_hand,False,1,RIGHT,hand,5,0,0.75,1,0.75,2.0,0,0.5,4.0,9.0,378.0,378.75,380.5,90.0,90.75,92.5
59,11,1,limbic_hand,False,0,NEU,hand,0,0,2.25,1,1.5,2.0,0,0.5,1.75,9.0,387.0,389.25,391.75,99.0,101.25,103.75
60,12,1,limbic_hand,False,0,NEU,hand,0,0,0.0,1,1.5,2.0,0,0.5,4.0,9.0,396.0,396.0,398.5,108.0,108.0,110.5
61,13,1,limbic_hand,False,1,RIGHT,hand,5,0,0.0,1,3.0,2.0,0,0.5,2.5,9.0,405.0,405.0,409.0,117.0,117.0,121.0
62,14,1,limbic_hand,False,0,NEU,hand,0,0,0.75,1,3.0,2.0,0,0.5,1.75,9.0,414.0,414.75,418.75,126.0,126.75,130.75
63,15,1,limbic_hand,False,0,LEFT,hand,2,0,0.75,1,2.25,2.0,0,0.5,2.5,9.0,423.0,423.75,427.0,135.0,135.75,139.0
64,16,1,limbic_hand,True,,,hand,,0,0.0,1,2.25,2.0,0,0.5,3.25,9.0,432.0,432.0,435.25,144.0,144.0,147.25
65,17,1,limbic_hand,False,1,LEFT,hand,3,0,2.25,1,0.75,2.0,0,0.5,2.5,9.0,441.0,443.25,445.0,153.0,155.25,157.0
66,18,1,limbic_hand,False,0,RIGHT,hand,4,0,1.5,1,1.5,2.0,0,0.5,2.5,9.0,450.0,451.5,454.0,162.0,163.5,166.0
67,19,1,limbic_hand,False,1,NEU,hand,1,0,0.0,1,3.0,2.0,0,0.5,2.5,9.0,459.0,459.0,463.0,171.0,171.0,175.0
68,20,1,limbic_hand,False,1,NEU,hand,1,0,0.0,1,3.0,2.0,0,0.5,2.5,9.0,468.0,468.0,472.0,180.0,180.0,184.0
69,21,1,limbic_hand,False,1,RIGHT,hand,5,0,1.5,1,2.25,2.0,0,0.5,1.75,9.0,477.0,478.5,481.75,189.0,190.5,193.75
70,22,1,limbic_hand,False,0,RIGHT,hand,4,0,1.5,1,0.75,2.0,0,0.5,3.25,9.0,486.0,487.5,489.25,198.0,199.5,201.25
71,23,1,limbic_hand,False,1,NEU,hand,1,0,0.75,1,1.5,2.0,0,0.5,3.25,9.0,495.0,495.75,498.25,207.0,207.75,210.25
72,24,1,limbic_hand,False,0,NEU,hand,0,0,1.5,1,3.0,2.0,0,0.5,1.0,9.0,504.0,505.5,509.5,216.0,217.5,221.5
73,25,1,limbic_hand,False,0,RIGHT,hand,4,0,1.5,1,2.25,2.0,0,0.5,1.75,9.0,513.0,514.5,517.75,225.0,226.5,229.75
74,26,1,limbic_hand,False,0,LEFT,hand,2,0,2.25,1,3.0,2.0,0,0.5,0.25,9.0,522.0,524.25,528.25,234.0,236.25,240.25
75,27,1,limbic_hand,True,,,hand,,0,1.5,1,1.5,2.0,0,0.5,2.5,9.0,531.0,532.5,535.0,243.0,244.5,247.0
76,28,1,limbic_hand,False,0,LEFT,hand,2,0,0.75,1,1.5,2.0,0,0.5,3.25,9.0,540.0,540.75,543.25,252.0,252.75,255.25
77,29,1,limbic_hand,False,1,LEFT,hand,3,0,1.5,1,3.0,2.0,0,0.5,1.0,9.0,549.0,550.5,554.5,261.0,262.5,266.5
78,30,1,limbic_hand,False,1,RIGHT,hand,5,0,2.25,1,2.25,2.0,0,0.5,1.0,9.0,558.0,560.25,563.5,270.0,272.25,275.5
79,31,1,limbic_hand,False,0,LEFT,hand,2,0,0.75,1,3.0,2.0,0,0.5,1.75,9.0,567.0,567.75,571.75,279.0,279.75,283.75
80,32,1,limbic_hand,False,0,NEU,hand,0,0,2.25,1,0.75,2.0,0,0.5,2.5,9.0,576.0,578.25,580.0,288.0,290.25,292.0
81,33,1,limbic_hand,False,0,LEFT,hand,2,0,2.25,1,2.25,2.0,0,0.5,1.0,9.0,585.0,587.25,590.5,297.0,299.25,302.5
82,34,1,limbic_hand,False,0,RIGHT,hand,4,0,1.5,1,2.25,2.0,0,0.5,1.75,9.0,594.0,595.5,598.75,306.0,307.5,310.75
83,35,1,limbic_hand,False,1,RIGHT,hand,5,0,2.25,1,1.5,2.0,0,0.5,1.75,9.0,603.0,605.25,607.75,315.0,317.25,319.75
84,36,1,limbic_hand,False,0,LEFT,hand,2,0,0.75,1,2.25,2.0,0,0.5,2.5,9.0,612.0,612.75,616.0,324.0,324.75,328.0
85,37,1,limbic_hand,False,1,LEFT,hand,3,0,0.75,1,0.75,2.0,0,0.5,4.0,9.0,621.0,621.75,623.5,333.0,333.75,335.5
86,38,1,limbic_hand,False,1,NEU,hand,1,0,0.0,1,2.25,2.0,0,0.5,3.25,9.0,630.0,630.0,633.25,342.0,342.0,345.25
87,39,1,limbic_hand,False,0,NEU,hand,0,0,1.5,1,1.5,2.0,0,0.5,2.5,9.0,639.0,640.5,643.0,351.0,352.5,355.0
