trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
0,0,0,localizer,False,0,LEFT,hand,0,0,1.5,1,0.0,0.8,0,1.0,1.7,6.0,0.0,1.5,2.5,0.0,1.5,2.5
1,1,0,localizer,False,1,RIGHT,hand,1,0,0.0,1,0.0,0.8,0,1.0,3.2,6.0,6.0,6.0,7.0,6.0,6.0,7.0
2,2,0,localizer,False,0,LEFT,hand,0,0,0.75,1,0.0,0.8,0,1.0,2.45,6.0,12.0,12.75,13.75,12.0,12.75,13.75
3,3,0,localizer,False,0,LEFT,hand,0,0,0.75,1,0.0,0.8,0,1.0,2.45,6.0,18.0,18.75,19.75,18.0,18.75,19.75
4,4,0,localizer,False,1,RIGHT,hand,1,0,2.25,1,0.0,0.8,0,1.0,0.95,6.0,24.0,26.25,27.25,24.0,26.25,27.25
5,5,0,localizer,False,1,RIGHT,hand,1,0,0.75,1,0.0,0.8,0,1.0,2.45,6.0,30.0,30.75,31.75,30.0,30.75,31.75
6,0,1,localizer,False,1,RIGHT,hand,1,0,0.0,1,0.0,0.8,0,0.0,4.2,6.0,36.0,36.0,37.0,0.0,0.0,1.0
7,1,1,localizer,False,0,LEFT,hand,0,0,0.75,1,0.0,0.8,0,0.0,3.45,6.0,42.0,42.75,43.75,6.0,6.75,7.75
8,2,1,localizer,False,0,LEFT,hand,0,0,2.25,1,0.0,0.8,0,0.0,1.95,6.0,48.0,50.25,51.25,12.0,14.25,15.25
9,3,1,localizer,False,1,RIGHT,hand,1,0,2.25,1,0.0,0.8,0,0.0,1.95,6.0,54.0,56.25,57.25,18.0,20.25,21.25
10,4,1,localizer,False,1,RIGHT,hand,1,0,2.25,1,0.0,0.8,0,0.0,1.95,6.0,60.0,62.25,63.25,24.0,26.25,27.25
