trial_ID,block_trial_ID,block,block_type,null_trial,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
18,0,3,cognitive_hand,False,1,SPD,hand,1,0,0.75,0,0.0,2.0,0,0.5,0.0,3.25,108.0,108.75,108.75,0.0,0.75,0.75
19,1,3,cognitive_hand,False,1,ACC,hand,3,0,1.5,0,0.0,2.0,0,0.5,0.0,4.0,111.25,112.75,112.75,3.25,4.75,4.75
20,2,3,cognitive_hand,False,1,ACC,hand,3,0,0.75,0,0.0,2.0,0,0.5,0.0,3.25,115.25,116.0,116.0,7.25,8.0,8.0
21,3,3,cognitive_hand,False,1,ACC,hand,3,0,2.25,0,0.0,2.0,0,0.5,0.0,4.75,118.5,120.75,120.75,10.5,12.75,12.75
22,4,3,cognitive_hand,False,0,ACC,hand,2,0,1.5,0,0.0,2.0,0,0.5,0.0,4.0,123.25,124.75,124.75,15.25,16.75,16.75
23,5,3,cognitive_hand,False,0,SPD,hand,0,0,1.5,0,0.0,2.0,0,0.5,0.0,4.0,127.25,128.75,128.75,19.25,20.75,20.75
24,6,3,cognitive_hand,False,0,ACC,hand,2,0,0.75,0,0.0,2.0,0,0.5,0.0,3.25,131.25,132.0,132.0,23.25,24.0,24.0
25,7,3,cognitive_hand,False,1,SPD,hand,1,0,0.75,0,0.0,2.0,0,0.5,0.0,3.25,134.5,135.25,135.25,26.5,27.25,27.25
26,8,3,cognitive_hand,False,1,SPD,hand,1,0,0.75,0,0.0,2.0,0,0.5,0.0,3.25,137.75,138.5,138.5,29.75,30.5,30.5
27,9,3,cognitive_hand,False,0,ACC,hand,2,0,1.5,0,0.0,2.0,0,0.5,0.0,4.0,141.0,142.5,142.5,33.0,34.5,34.5
28,10,3,cognitive_hand,False,1,SPD,hand,1,0,0.75,0,0.0,2.0,0,0.5,0.0,3.25,145.0,145.75,145.75,37.0,37.75,37.75
29,11,3,cognitive_hand,False,0,SPD,hand,0,0,0.75,0,0.0,2.0,0,0.5,0.0,3.25,148.25,149.0,149.0,40.25,41.0,41.0
30,12,3,cognitive_hand,False,0,ACC,hand,2,0,2.25,0,0.0,2.0,0,0.5,0.0,4.75,151.5,153.75,153.75,43.5,45.75,45.75
31,13,3,cognitive_hand,False,0,SPD,hand,0,0,1.5,0,0.0,2.0,0,0.5,0.0,4.0,156.25,157.75,157.75,48.25,49.75,49.75
32,14,3,cognitive_hand,False,0,SPD,hand,0,0,1.5,0,0.0,2.0,0,0.5,0.0,4.0,160.25,161.75,161.75,52.25,53.75,53.75
33,15,3,cognitive_hand,False,1,ACC,hand,3,0,0.75,0,0.0,2.0,0,0.5,0.0,3.25,164.25,165.0,165.0,56.25,57.0,57.0
